# Chunk-averaged data for fix chunk and group B
# Timestep Number-of-chunks Total-count
# Chunk OrigID Coord1 Ncount c_ke1 temp c_stress4[1] c_displace1[1] c_disp c_stress5[1]
100100 173 3444
  118 121 244.806 24 8.77501e-05 0.678865 1440.83 0.00146055 13.1306 1440.83
  119 122 246.806 12 6.97392e-05 0.539526 -2781.15 0.0010701 12.0643 -2781.15
  120 123 248.806 24 4.6213e-05 0.357519 -7225.6 0.000657612 13.1313 -7225.6
  121 124 250.806 24 2.64602e-05 0.204705 -13145.4 0.000194338 13.1317 -13145.4
  122 125 252.806 12 2.19925e-05 0.170141 -17313.3 -9.69179e-05 14.1987 -17313.3
  123 126 254.806 24 2.95033e-05 0.228247 -21057.3 -0.000411058 13.1323 -21057.3
  124 127 256.806 24 6.48925e-05 0.50203 -25638.4 -0.000986604 13.1328 -25638.4
  125 128 258.806 12 0.000114839 0.888436 -28994.1 -0.00154372 12.0664 -28994.1
  126 129 260.806 24 0.000171636 1.32783 -32558.1 -0.00209476 13.1333 -32558.1
  127 130 262.806 24 0.000206255 1.59566 -37676 -0.00260217 13.1337 -37676
  128 131 264.806 12 0.000178156 1.37828 -41674.8 -0.00275593 14.2007 -41674.8
  129 132 266.806 24 0.00010909 0.843959 -45615.7 -0.00276797 13.1343 -45615.7
  130 133 268.806 24 2.59952e-05 0.201108 -50573.8 -0.0028079 13.1347 -50573.8
  131 134 270.806 12 1.48809e-05 0.115124 -54035.3 -0.00296775 12.0683 -54035.3
  132 135 272.806 24 7.35479e-05 0.568992 -57292.4 -0.00328754 13.1353 -57292.4
  133 136 274.806 24 0.000193313 1.49553 -61473.6 -0.00381228 13.1356 -61473.6
  134 137 276.806 12 0.00026254 2.0311 -64530.5 -0.00416975 14.2025 -64530.5
  135 138 278.806 24 0.000276625 2.14006 -67546.4 -0.00441134 13.1361 -67546.4
  136 139 280.806 24 0.000230528 1.78344 -71556.8 -0.00457061 13.1364 -71556.8
  137 140 282.806 12 0.000171435 1.32628 -74576.1 -0.00460529 12.07 -74576.1
  138 141 284.806 24 0.000114943 0.889236 -77579.3 -0.00462086 13.1369 -77579.3
  139 142 286.806 24 6.15946e-05 0.476517 -81423.9 -0.00468256 13.1372 -81423.9
  140 143 288.806 12 3.95629e-05 0.306072 -84082.5 -0.00477637 14.2041 -84082.5
  141 144 290.806 24 3.05486e-05 0.236334 -86347.8 -0.00491603 13.1376 -86347.8
  142 145 292.806 24 2.77577e-05 0.214743 -88714.9 -0.00513258 13.1379 -88714.9
  143 146 294.806 12 3.05225e-05 0.236133 -90033.5 -0.00531446 12.0714 -90033.5
  144 147 296.806 24 3.82766e-05 0.296121 -91021.2 -0.00551082 13.1383 -91021.2
  145 148 298.806 24 5.2156e-05 0.403496 -92108.4 -0.00576231 13.1386 -92108.4
  146 149 300.806 12 6.21833e-05 0.481071 -92812.5 -0.00591919 14.2055 -92812.5
  147 150 302.806 24 6.8412e-05 0.529258 -93330.9 -0.00603236 13.139 -93330.9
  148 151 304.806 24 6.95214e-05 0.537841 -93558.6 -0.00614173 13.1392 -93558.6
  149 152 306.806 12 6.50144e-05 0.502974 -93244.9 -0.0062077 12.0728 -93244.9
  150 153 308.806 24 5.65268e-05 0.437311 -92408.7 -0.00628586 13.1396 -92408.7
  151 154 310.806 24 4.60433e-05 0.356206 -90773 -0.00642727 13.1398 -90773
  152 155 312.806 12 4.258e-05 0.329413 -89293.6 -0.0065411 14.2067 -89293.6
  153 156 314.806 24 4.26101e-05 0.329646 -87663.8 -0.00662018 13.1401 -87663.8
  154 157 316.806 24 4.29796e-05 0.332505 -85331.1 -0.00665621 13.1403 -85331.1
  155 158 318.806 12 4.22631e-05 0.326961 -83413.7 -0.006638 12.0738 -83413.7
  156 159 320.806 24 4.32596e-05 0.334671 -81270.5 -0.00659103 13.1406 -81270.5
  157 160 322.806 24 5.53955e-05 0.428559 -78094.7 -0.0065399 13.1408 -78094.7
  158 161 324.806 12 7.37278e-05 0.570383 -75482.1 -0.00653158 14.2075 -75482.1
  159 162 326.806 24 9.18374e-05 0.710485 -72640.7 -0.00654449 13.141 -72640.7
  160 163 328.806 24 9.3345e-05 0.722149 -68572.7 -0.00653104 13.1411 -68572.7
  161 164 330.806 12 7.17889e-05 0.555383 -65326 -0.00645176 12.0745 -65326
  162 165 332.806 24 4.50675e-05 0.348657 -61928.9 -0.00628474 13.1413 -61928.9
  163 166 334.806 24 4.55819e-05 0.352637 -57252.7 -0.00598018 13.1414 -57252.7
  164 167 336.806 12 8.8902e-05 0.687775 -53664.1 -0.00574717 14.2081 -53664.1
  165 168 338.806 24 0.000154597 1.19601 -50001.4 -0.00558028 13.1415 -50001.4
  166 169 340.806 24 0.000202064 1.56324 -44888.3 -0.00547008 13.1416 -44888.3
  167 170 342.806 12 0.000177346 1.37201 -40531.1 -0.0054382 12.075 -40531.1
  168 171 344.806 24 0.000108203 0.837093 -34116.3 -0.00537428 13.1417 -34116.3
  169 172 346.806 24 3.13376e-05 0.242438 -18254 -0.00508927 13.1418 -18254
  170 173 348.806 12 2.56306e-05 0.198287 605.574 -0.0045938 14.2085 605.574
  171 174 350.806 24 6.6942e-05 0.517886 20830.4 -0.00373524 13.1419 20830.4
  172 175 352.806 24 0.000105357 0.81508 43506.1 -0.0022676 13.1421 43506.1
  173 176 354.806 12 3.62166e-05 0.280184 55974.7 -0.000988457 12.0759 55974.7
100200 173 3444
  1 4 10.8061 12 0.0086375 66.8226 -27646.3 0.21064 12.1086 -27646.3
  2 5 12.8061 24 0.00656787 50.8112 -251960 0.176351 12.5918 -251960
  3 6 14.8061 12 0.00554939 42.932 -517631 0.162302 14.2061 -517631
  4 7 16.8061 24 0.00429069 33.1942 -747254 0.15231 13.123 -747254
  5 8 18.8061 24 0.00543306 42.032 -1.10812e+06 0.130467 13.1068 -1.10812e+06
  6 9 20.8061 12 0.00651404 50.3948 -1.2806e+06 0.108802 12.0341 -1.2806e+06
  7 10 22.8061 24 0.00607759 47.0183 -1.24186e+06 0.0862839 13.0995 -1.24186e+06
  8 11 24.8061 24 0.00554065 42.8644 -1.10426e+06 0.058789 13.1007 -1.10426e+06
  9 12 26.8061 12 0.00493311 38.1642 -943872 0.0401462 14.1678 -943872
  10 13 28.8061 24 0.00322736 24.968 -670195 0.0254593 13.1011 -670195
  11 14 30.8061 24 0.000832883 6.44346 -293693 0.0137138 13.1012 -293693
  12 15 32.8061 12 0.000165384 1.27947 -119613 0.00985699 12.0346 -119613
  13 16 34.8061 24 0.000124883 0.966138 -55179.2 0.00842413 13.1013 -55179.2
  14 17 36.8061 24 0.000175035 1.35413 -31043.2 0.00760675 13.1014 -31043.2
  15 18 38.8061 12 0.000168262 1.30173 -28088.2 0.00724842 14.1682 -28088.2
  16 19 40.8061 24 0.000105132 0.813336 -27984.7 0.00689675 13.1016 -27984.7
  17 20 42.8061 24 1.98017e-05 0.153193 -28356.6 0.00632192 13.1017 -28356.6
  18 21 44.8061 12 1.28313e-05 0.0992671 -28652.4 0.00576399 12.0351 -28652.4
  19 22 46.8061 24 7.98206e-05 0.617519 -28896.6 0.00507345 13.1018 -28896.6
  20 23 48.8061 24 0.000188615 1.45919 -29079 0.00413173 13.102 -29079
  21 24 50.8061 12 0.000221475 1.71341 -29069.1 0.00360835 14.1687 -29069.1
  22 25 52.8061 24 0.000179084 1.38546 -28944.9 0.00348684 13.1021 -28944.9
  23 26 54.8061 24 7.6325e-05 0.590476 -28717.4 0.00387798 13.1023 -28717.4
  24 27 56.8061 12 1.74974e-05 0.135366 -28552.4 0.00438921 12.0358 -28552.4
  25 28 58.8061 24 6.05139e-06 0.0468156 -28383.2 0.00475678 13.1026 -28383.2
  26 29 60.8061 24 2.40599e-05 0.186136 -27989.8 0.00473952 13.1027 -27989.8
  27 30 62.8061 12 3.08234e-05 0.23846 -27461.1 0.00440824 14.1696 -27461.1
  28 31 64.8061 24 2.00063e-05 0.154776 -26635.2 0.00404087 13.1031 -26635.2
  29 32 66.8061 24 4.84552e-06 0.0374866 -25247.5 0.00378144 13.1033 -25247.5
  30 33 68.8061 12 6.60405e-06 0.0510911 -24091.4 0.00376219 12.0368 -24091.4
  31 34 70.8061 24 1.90097e-05 0.147066 -22910 0.00373517 13.1036 -22910
  32 35 72.8061 24 2.42036e-05 0.187247 -21396.8 0.00338944 13.1038 -21396.8
  33 36 74.8061 12 1.33242e-05 0.103081 -20307.8 0.00280504 14.1706 -20307.8
